POACEAE|Brachiaria serrata |Brachiaria serrata (Thunb.) Stapf|LC|No||Perennial|Graminoid|0|1|5|1900|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
ASTERACEAE|Brachylaena elliptica |Brachylaena elliptica (Thunb.) DC.|LC|No||Perennial|Shrub, tree|1.79|7|1|1200|EC, FSA, KZN, SA
POACEAE|Bromus catharticus |Bromus catharticus Vahl|Not Evaluated|No||Annual (occ. perennial)|Graminoid|0|1|10|3000|EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
POACEAE|Bromus speciosus|Bromus speciosus Nees|LC|No||Perennial|Graminoid|0.3|0.6|700|3000|EC, FS, FSA, KZN, L, M, SA
BRYACEAE|Bryum canariense|Bryum canariense Brid.||No||Perennial|Bryophyte|0.3|2.2|0|1800|EC, FS, FSA, KZN, L, LIM, M, NC, S, SA, WC
BUDDLEJACEAE|Buddleja saligna|Buddleja saligna Willd.|LC|No||Perennial|Shrub, tree|0.5|7|40|1873|EC, FS, FSA, G, KZN, LIM, M, NC, NW, SA, WC
BUDDLEJACEAE|Buddleja salviifolia |Buddleja salviifolia (L.) Lam.|LC|No||Perennial|Shrub, tree|1|8|10|2700|EC, FS, FSA, G, KZN, L, LIM, M, NC, NW, S, SA, WC
ASPHODELACEAE|Bulbine abyssinica|Bulbine abyssinica A.Rich.|LC|No||Perennial|Geophyte, herb, succulent|0.15|0.91|250|2000|B, EC, FS, FSA, G, KZN, L, LIM, NC, NW, S, SA, WC
ASPHODELACEAE|Bulbine longifolia |Bulbine longifolia Schinz|LC|No||Perennial|Geophyte, herb, succulent|0.15|0.2|100|1220|EC, FSA, N, NC, SA, WC
CYPERACEAE|Bulbostylis densa |Bulbostylis densa (Wall.) Hand.-Mazz. subsp. afromontana (Lye) R.W.Haines|LC|No||Annual|Cyperoid, herb, mesophyte|0.05|0.25|0|2100|EC, FS, FSA, KZN, L, LIM, M, S, SA
CYPERACEAE|Bulbostylis oritrephes |Bulbostylis oritrephes (Ridl.) C.B.Clarke|LC|No||Perennial|Cyperoid, herb, mesophyte|0.05|0.44|200|2200|EC, FS, FSA, G, KZN, L, LIM, M, NW, S, SA
POACEAE|Calamagrostis epigejos |Calamagrostis epigejos (L.) Roth var. capensis Stapf|LC|No||Perennial|Graminoid|0|1.2|1300|1900|EC, FSA, G, NW, SA, WC
RUTACEAE|Calodendrum capense |Calodendrum capense (L.f.) Thunb.|LC|No||Perennial|Tree|7|22|5|2000|EC, FSA, G, KZN, L, LIM, M, NW, S, SA, WC
RUBIACEAE|Canthium ciliatum |Canthium ciliatum (Klotzsch) Kuntze|LC|No||Perennial|Shrub, tree|1|2.5|90|2135|EC, FS, FSA, KZN, L, LIM, M, NC, S, SA
CYPERACEAE|Carex glomerabilis|Carex glomerabilis V.I.Krecz.|LC|No||Perennial|Cyperoid, helophyte, herb|0.1|0.69|5|3050|EC, FS, FSA, G, KZN, L, M, SA, WC
CYPERACEAE|Carex mossii|Carex mossii Nelmes|LC|No||Perennial|Cyperoid, helophyte, herb|0.4|1.39|515|1550|EC, FSA, KZN, LIM, M, SA
APOCYNACEAE|Carissa bispinosa |Carissa bispinosa (L.) Desf. ex Brenan|LC|No||Perennial|Shrub|0.2|5.5|0|2050|B, EC, FSA, G, KZN, L, LIM, M, N, NW, S, SA, WC
CELASTRACEAE|Catha edulis |Catha edulis (Vahl) Forssk. ex Endl.|LC|No||Perennial|Shrub, tree|0.1|10|350|1000|EC, FSA, KZN, LIM, M, S, SA
POACEAE|Cenchrus ciliaris |Cenchrus ciliaris L.|LC|No||Perennial|Graminoid|0|1.5|50|1500|B, EC, FS, FSA, G, KZN, LIM, M, N, NC, NW, S, SA, WC
APOCYNACEAE|Ceropegia zeyheri |Ceropegia zeyheri Schltr.|LC|No||Perennial|Climber, succulent|0.3|1|300|1100|EC, FSA, SA, WC
SINOPTERIDACEAE|Cheilanthes bergiana |Cheilanthes bergiana Schltdl.|LC|No||Perennial|Geophyte, herb|0.15|0.44|5|1525|EC, FSA, G, KZN, LIM, M, S, SA, WC
SINOPTERIDACEAE|Cheilanthes eckloniana |Cheilanthes eckloniana (Kunze) Mett.|LC|No||Perennial|Geophyte, herb, lithophyte|0.25|0.3|100|1900|EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
SINOPTERIDACEAE|Cheilanthes hirta |Cheilanthes hirta Sw. var. nemorosa W.& N.Jacobsen||No||[No lifecycle defined]|Herb|0|0|0|0|FSA, SA
SINOPTERIDACEAE|Cheilanthes quadripinnata |Cheilanthes quadripinnata (Forssk.) Kuhn|LC|No||Perennial|Geophyte, herb, lithophyte|0.2|0.34|200|2100|EC, FS, FSA, G, KZN, L, LIM, M, S, SA, WC
SINOPTERIDACEAE|Cheilanthes viridis |Cheilanthes viridis (Forssk.) Sw. var. viridis|LC|No||Perennial|Geophyte, herb, lithophyte|0.2|0.34|10|1980|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NW, S, SA, WC
CHENOPODIACEAE|Chenopodium mucronatum |Chenopodium mucronatum Thunb.|LC|No||Annual|Herb|0.1|2|15|2561|B, EC, FS, FSA, G, KZN, L, N, NC, S, SA, WC
POACEAE|Chloris virgata |Chloris virgata Sw.|LC|No||Annual (occ. perennial)|Graminoid|0.3|0.75|3|2000|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
ASTERACEAE|Chrysocoma ciliata |Chrysocoma ciliata L.|LC|No||Perennial|Shrub|0.1|0.6|5|3124|EC, FS, FSA, G, KZN, L, M, N, NC, NW, SA, WC
ASTERACEAE|Cineraria geifolia|Cineraria geifolia (L.) L.|LC|No||Perennial|Herb, suffrutex|0.21|0.6|3|3400|EC, FS, FSA, KZN, L, SA, WC
LAMIACEAE|Clerodendrum glabrum |Clerodendrum glabrum E.Mey.|LC|No||Perennial|Shrub, tree|0.3|9|0|1600|B, EC, FSA, G, KZN, LIM, M, N, NW, S, SA
EUPHORBIACEAE|Clutia affinis |Clutia affinis Sond.|LC|No||Perennial|Shrub|0.3|2.5|60|2135|EC, FSA, G, KZN, L, LIM, M, S, SA, WC
EUPHORBIACEAE|Clutia pubescens|Clutia pubescens Thunb.|LC|No||Perennial|Dwarf shrub|0.2|0.5|150|730|EC, FSA, SA, WC
COLCHICACEAE|Colchicum longipes|Colchicum longipes (Baker) J.C.Manning & Vinn.|LC|No||Perennial|Geophyte|0.05|0.25|5|3140|EC, FSA, SA
COLCHICACEAE|Colchicum melanthoides |Colchicum melanthoides (Willd.) J.C.Manning & Vinn. subsp. melanthoides|LC|No||Perennial|Geophyte|0.05|0.25|645|2500|B, EC, FS, FSA, G, LIM, N, NC, NW, SA, WC
SANTALACEAE|Colpoon compressum|Colpoon compressum P.J. Bergius|||Osyris compressa||Tree|||||
COMBRETACEAE|Combretum caffrum |Combretum caffrum (Eckl. & Zeyh.) Kuntze|LC|No||Perennial|Tree|1|9|15|762|EC, FSA, SA
COMMELINACEAE|Commelina africana |Commelina africana L. var. africana|LC|No||Perennial|Herb|0.05|0.5|2|2135|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NW, S, SA
ASTERACEAE|Conyza bonariensis |Conyza bonariensis (L.) Cronquist|Not Evaluated|No||Annual|Herb|0.05|1.2|5|1890|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
CRASSULACEAE|Cotyledon campanulata |Cotyledon campanulata Marloth|LC|No||Perennial|Dwarf shrub, succulent|0.2|0.64|200|1600|EC, FSA, SA, WC
